Регион,Округ
Алтайский край,Сибирский
Амурская область,Дальневосточный
Архангельская область,Северо-Западный
Белгородская область,Центральный
Брянская область,Центральный
Владимирская область,Центральный
Вологодская область,Северо-Западный
Воронежская область,Центральный
г. Москва,Центральный
г. Санкт-Петербург,Северо-Западный
Еврейская автономная область,Дальневосточный
Ивановская область,Центральный
Иркутская область,Сибирский
Кабардино-Балкарская Республика,Северо-Кавказский
Калининградская область,Северо-Западный
Калужская область,Центральный
Камчатский край,Дальневосточный
Карачаево-Черкесская Республика,Северо-Кавказский
Кемеровская область,Сибирский
Кировская область,Приволжский
Костромская область,Центральный
Красноярский край,Сибирский
Курганская область,Уральский
Курская область,Центральный
Ленинградская область,Северо-Западный
Липецкая область,Центральный
Магаданская область,Дальневосточный
Московская область,Центральный
Мурманская область,Северо-Западный
Нижегородская область,Приволжский
Новгородская область,Северо-Западный
Новосибирская область,Сибирский
Омская область,Сибирский
Оренбургская область,Приволжский
Орловская область,Центральный
Пензенская область,Приволжский
Пермский край,Приволжский
Приморский край,Дальневосточный
Псковская область,Северо-Западный
Республика Алтай,Сибирский
Республика Башкортостан,Приволжский
Республика Бурятия,Сибирский
Республика Дагестан,Северо-Кавказский
Республика Ингушетия,Северо-Кавказский
Республика Карелия,Северо-Западный
Республика Коми,Северо-Западный
Республика Марий Эл,Приволжский
Республика Мордовия,Приволжский
Республика Саха (Якутия),Дальневосточный
Республика Северная Осетия-Алания,Северо-Кавказский
Республика Татарстан,Приволжский
Республика Тыва,Сибирский
Республика Хакасия,Сибирский
Ростовская область,Северо-Кавказский
Рязанская область,Центральный
Самарская область,Приволжский
Саратовская область,Приволжский
Сахалинская область,Дальневосточный
Свердловская область,Уральский
Смоленская область,Центральный
Тамбовская область,Центральный
Тверская область,Центральный
Томская область,Сибирский
Тульская область,Центральный
Тюменская область,Уральский
Удмуртская республика,Приволжский
Ульяновская область,Приволжский
Хабаровский край,Дальневосточный
Челябинская область,Уральский
Чеченская Республика,Северо-Кавказский
Читинская область,Сибирский
Чувашская Республика,Приволжский
Чукотский автономный округ,Дальневосточный
Ярославская область,Центральный